Time,Temp,Humidity
10:05:34,33.4,56.6
10:05:39,33.4,56.7
10:05:44,33.4,56.8
10:05:49,33.4,56.7
10:05:54,33.4,56.8
10:05:59,33.4,56.8
10:06:04,33.4,56.7
10:06:09,33.4,56.7
10:06:14,33.4,56.8
10:06:19,33.4,56.7
10:06:24,33.4,56.6
10:06:29,33.4,56.7
10:06:34,33.4,56.7
10:28:39,32.3,57.4
10:28:44,32.3,57.8
10:28:54,32.3,57.3
10:28:59,32.3,57.3
10:29:04,32.3,57.9
10:29:09,32.4,57.5
10:29:14,32.4,57.1
10:29:19,32.4,57.0
10:29:24,32.4,56.8
10:29:29,32.4,56.8
10:29:34,32.4,56.7
10:29:39,32.4,56.9
10:29:44,32.4,57.1
10:29:49,32.4,57.3
10:29:54,32.4,57.0
10:29:59,32.4,56.7
10:30:04,32.5,56.5
10:30:09,32.5,56.5
10:30:14,32.5,56.4
10:30:19,32.5,56.3
10:30:24,32.5,57.2
10:30:29,32.5,57.5
10:30:39,32.5,57.8
10:30:44,32.5,57.3
10:30:49,32.4,57.0
10:30:54,32.5,56.9
10:30:59,32.4,57.0
10:31:04,32.4,57.1
10:31:09,32.4,57.0
10:31:14,32.5,56.9
10:31:19,32.4,56.7
10:31:24,32.4,56.6
10:31:29,32.5,56.5
10:31:34,32.5,56.3
10:31:39,32.5,56.2
10:31:44,32.5,56.1
10:31:49,32.5,55.8
10:31:54,32.5,55.6
10:31:59,32.4,55.5
10:32:04,32.5,55.6
10:32:09,32.5,55.6
10:32:14,32.5,55.9
10:32:19,32.5,55.9
10:32:25,32.5,56.1
10:32:30,32.5,57.4
10:32:35,32.5,58.5
10:32:40,32.5,58.5
10:32:45,32.5,58.1
10:32:50,32.5,58.1
10:32:55,32.5,59.1
10:33:00,32.5,59.3
10:33:05,32.5,58.5
10:33:10,32.5,58.8
10:33:15,32.5,59.4
10:33:20,32.5,59.4
10:33:25,32.4,58.8
10:33:30,32.5,58.3
10:33:35,32.4,57.7
10:33:40,32.5,57.2
10:33:45,32.5,56.9
10:33:50,32.5,56.8
10:33:55,32.5,56.7
10:34:00,32.5,56.7
10:34:05,32.5,56.7
10:34:10,32.4,57.5
10:34:15,32.5,57.7
10:34:20,32.5,58.0
10:34:30,32.5,57.0
10:34:35,32.5,57.0
10:34:40,32.5,56.8
10:34:45,32.5,56.6
10:34:50,32.5,56.7
10:34:55,32.5,56.8
10:35:00,32.5,56.8
10:35:05,32.5,56.8
10:35:10,32.5,56.6
10:35:15,32.5,57.6
10:35:20,32.5,57.7
10:35:25,32.5,57.6
10:35:30,32.5,57.8
10:35:35,32.5,57.5
10:35:40,32.5,58.2
10:35:55,32.5,60.4
10:36:00,32.5,59.4
10:36:05,32.5,59.1
10:36:10,32.5,58.3
10:36:15,32.5,57.9
10:36:20,32.5,57.7
10:36:25,32.5,57.7
10:36:30,32.5,57.7
10:36:35,32.5,57.8
10:36:40,32.5,58.1
10:36:45,32.5,58.5
10:36:50,32.5,59.0
10:36:55,32.5,59.4
10:37:00,32.4,59.1
10:37:05,32.4,58.4
10:37:10,32.4,58.1
10:37:15,32.4,57.7
10:37:20,32.5,57.4
10:37:25,32.5,61.2
10:37:30,32.7,64.9
10:37:35,32.9,63.9
10:37:40,33.0,61.2
10:37:45,33.1,59.2
10:37:50,33.1,57.9
10:37:55,33.2,58.8
10:38:00,33.3,61.1
10:38:05,33.4,60.5
10:38:10,33.5,58.8
10:42:39,33.6,57.1
10:42:50,32.8,56.3
10:42:55,32.9,56.1
10:43:05,32.9,56.4
10:43:10,32.9,57.6
10:43:15,32.9,58.6
10:43:20,32.8,58.7
10:43:25,32.7,59.5
10:43:30,32.7,59.9
10:43:35,32.5,59.0
10:43:40,32.3,58.4
10:43:50,32.1,64.0
10:43:55,32.1,65.8
10:44:05,32.0,72.0
10:44:10,31.9,75.4
10:44:15,31.9,78.1
10:44:20,31.9,79.8
10:44:30,31.9,83.5
10:44:35,31.8,85.0
10:44:40,31.8,86.3
10:44:45,31.8,87.4
10:44:50,31.8,88.4
10:44:55,31.8,89.0
10:45:00,31.7,88.1
10:45:05,31.7,82.1
10:45:10,31.8,76.3
10:45:15,31.8,71.0
10:45:20,31.9,66.7
10:45:25,32.0,64.3
10:45:30,32.0,62.9
10:45:35,32.1,61.6
10:45:40,32.1,60.4
10:45:45,32.2,59.6
10:45:50,32.2,59.1
10:45:55,32.3,58.8
10:46:00,32.4,58.3
10:46:05,32.4,58.1
10:46:10,32.5,57.6
10:46:15,32.5,57.3
10:46:20,32.5,57.7
10:46:25,32.6,58.1
10:46:30,32.5,59.3
10:46:35,32.4,60.7
10:46:40,32.4,61.8
10:46:45,32.3,61.6
10:46:50,32.2,61.5
10:47:05,31.8,71.9
10:47:10,31.9,72.6
10:47:15,31.8,76.1
10:47:20,31.9,79.6
10:47:25,31.9,82.5
10:47:30,32.0,84.8
10:47:35,32.1,86.6
10:47:40,32.0,78.5
10:47:45,32.0,71.8
10:47:50,32.0,67.1
10:47:55,32.0,63.8
10:48:00,32.0,61.2
10:48:05,32.0,59.4
10:48:10,32.1,58.6
10:48:15,32.1,57.6
10:48:20,32.2,56.6
10:48:25,32.3,56.0
10:48:30,32.4,55.4
10:48:35,32.5,54.6
10:48:40,32.6,54.0
10:48:45,32.7,53.2
10:48:50,32.7,52.7
10:48:55,32.8,52.0
10:49:00,32.8,51.4
10:49:05,32.9,51.0
10:49:10,32.9,50.8
10:49:15,33.0,50.7
10:49:20,33.0,50.4
10:49:25,33.1,50.2
10:49:30,33.1,50.1
10:49:35,33.1,49.9
10:49:40,33.1,49.7
10:49:45,33.2,49.6
10:49:50,33.2,49.5
10:49:55,33.2,49.4
10:50:00,33.2,49.3
10:50:05,33.2,49.3
10:50:10,33.2,49.3
12:45:51,33.6,47.0
12:45:56,33.7,46.8
12:46:01,33.7,46.9
12:46:06,33.7,46.8
12:46:11,33.7,46.8
12:46:16,33.7,47.1
12:46:21,33.7,47.4
12:46:26,33.7,47.4
12:46:31,33.8,46.8
12:46:36,33.8,47.0
12:47:01,33.8,47.7
12:47:06,33.8,48.8
12:47:11,33.8,48.9
12:47:16,33.8,48.5
12:47:21,33.8,48.3
12:47:26,33.9,48.4
12:47:31,33.9,48.1
12:47:36,33.9,47.8
12:47:41,33.9,47.6
12:47:46,33.9,47.8
12:47:51,33.9,48.0
12:47:56,33.9,47.7
12:48:01,34.0,47.7
12:48:06,34.0,47.8
12:48:11,34.0,47.7
12:48:16,34.0,47.5
12:48:21,34.0,47.0
12:48:26,34.1,46.8
12:48:31,34.1,46.4
12:48:36,34.1,46.1
12:48:41,34.0,46.4
12:48:46,34.0,46.6
12:48:51,34.0,46.7
12:48:56,34.0,46.3
12:49:01,34.0,46.1
12:49:06,34.0,46.5
12:49:11,34.1,46.5
12:49:16,34.1,46.2
12:49:21,34.1,46.1
12:49:26,34.1,46.8
12:49:31,34.1,47.1
12:49:36,34.1,47.1
12:49:41,34.1,47.0
12:49:46,34.1,47.1
12:49:51,34.1,47.3
12:49:56,34.1,47.0
12:50:01,34.2,46.5
12:50:06,34.1,46.0
12:50:11,34.2,46.0
12:50:16,34.1,46.0
12:50:21,34.1,46.4
12:50:26,34.1,46.7
12:50:31,34.1,47.0
12:50:36,34.2,46.8
12:50:41,34.2,46.3
12:50:46,34.2,46.0
12:50:51,34.1,46.0
12:50:56,34.2,45.8
12:51:01,34.2,45.8
12:51:06,34.2,45.9
12:51:11,34.2,46.1
12:51:16,34.2,46.2
12:51:21,34.2,46.1
12:51:26,34.2,45.7
12:51:31,34.2,45.2
12:51:36,34.2,45.0
12:51:41,34.3,45.1
12:51:46,34.3,45.0
12:51:51,34.3,45.1
12:51:56,34.3,45.1
12:52:01,34.3,45.4
12:52:06,34.3,45.3
12:52:11,34.3,45.1
12:52:16,34.3,44.9
12:52:21,34.3,44.9
12:52:26,34.3,45.0
12:52:31,34.3,45.1
12:52:36,34.3,45.2
12:52:41,34.3,45.1
12:52:46,34.3,45.2
12:52:51,34.3,45.2
12:52:56,34.3,45.2
12:53:01,34.3,45.2
12:53:06,34.3,45.3
12:53:11,34.2,45.0
12:53:16,34.3,45.1
12:53:21,34.3,45.2
12:53:26,34.3,45.1
12:53:31,34.2,45.2
12:53:36,34.2,45.1
12:53:41,34.2,45.0
12:53:46,34.2,45.1
12:53:51,34.2,45.4
12:53:56,34.2,46.1
12:54:01,34.2,46.3
12:54:11,34.2,46.7
12:54:16,34.2,47.4
12:54:21,34.2,47.7
12:54:26,34.2,47.4
12:54:31,34.2,47.1
12:54:36,34.2,47.4
12:54:41,34.2,48.0
12:54:46,34.2,48.4
12:54:51,34.2,48.3
12:54:56,34.2,47.9
12:55:01,34.2,47.9
12:55:06,34.1,47.9
12:55:11,34.1,47.6
12:55:16,34.1,47.0
12:55:21,34.1,48.9
12:55:26,34.2,48.4
12:55:31,34.1,47.9
12:55:36,34.1,47.3
12:55:41,34.1,46.9
12:55:46,34.1,46.7
12:55:51,34.1,46.8
12:55:56,34.1,46.6
12:56:01,34.1,47.6
12:56:06,34.1,47.6
12:56:11,34.1,47.2
12:56:16,34.1,47.0
12:56:21,34.1,46.8
12:56:26,34.1,46.6
12:56:31,34.1,46.3
12:56:36,34.1,45.9
12:56:41,34.1,45.7
12:56:46,34.2,45.7
12:56:51,34.2,45.5
12:56:56,34.2,45.0
12:57:01,34.2,44.6
12:57:06,34.2,44.5
12:57:12,34.2,44.4
12:57:17,34.3,44.3
12:57:22,34.3,44.3
12:57:27,34.3,44.3
12:57:32,34.3,44.4
12:57:37,34.3,44.5
12:57:42,34.4,44.3
12:57:47,34.4,44.3
12:57:52,34.4,44.1
12:57:57,34.4,43.9
12:58:02,34.4,44.0
12:58:07,34.5,44.0
12:58:12,34.4,44.0
12:58:17,34.5,44.1
12:58:22,34.5,44.2
12:58:27,34.5,44.4
12:58:32,34.4,44.5
12:58:37,34.5,44.6
12:58:42,34.5,44.7
12:58:47,34.4,44.6
12:58:52,34.5,44.4
12:58:57,34.5,44.2
12:59:02,34.5,44.1
12:59:07,34.5,44.0
12:59:12,34.5,44.0
12:59:17,34.5,44.0
12:59:22,34.5,43.9
12:59:27,34.5,43.8
12:59:32,34.5,43.7
12:59:37,34.5,43.6
12:59:42,34.6,43.5
12:59:47,34.6,43.4
12:59:52,34.6,43.5
12:59:57,34.6,43.3
13:00:02,34.6,43.3
13:00:07,34.6,43.3
13:00:12,34.6,43.5
13:00:17,34.6,43.7
13:00:22,34.6,44.0
13:00:27,34.6,44.0
13:00:32,34.6,44.0
13:00:37,34.6,44.0
13:00:42,34.6,43.9
13:00:47,34.6,43.7
13:00:52,34.6,43.6
13:00:57,34.6,43.5
13:01:02,34.6,43.6
13:01:07,34.6,43.7
13:01:12,34.6,43.8
13:01:17,34.6,43.9
13:01:22,34.6,43.9
13:01:27,34.6,43.9
13:01:32,34.6,44.1
13:01:37,34.6,44.3
13:01:42,34.6,44.3
13:01:47,34.6,44.5
13:01:52,34.6,44.5
13:01:57,34.5,44.4
13:02:02,34.6,44.6
13:02:07,34.5,45.1
13:02:12,34.5,45.0
13:02:17,34.5,44.9
13:02:22,34.5,44.9
13:02:27,34.6,44.7
13:02:32,34.5,44.7
13:02:37,34.5,44.6
13:02:42,34.5,44.5
13:02:47,34.5,45.3
13:02:52,34.5,45.4
13:02:57,34.5,45.3
13:03:02,34.5,45.2
13:03:07,34.5,45.0
13:03:12,34.5,44.6
13:03:17,34.5,44.3
13:03:22,34.6,44.2
13:03:27,34.6,44.1
13:03:32,34.6,44.3
13:03:37,34.6,44.4
13:03:42,34.6,44.7
13:03:47,34.6,44.6
13:03:52,34.6,44.6
13:03:57,34.6,44.7
13:04:02,34.6,44.6
13:04:07,34.6,44.8
13:04:12,34.6,44.5
13:04:17,34.6,44.2
13:04:22,34.6,44.1
13:04:27,34.6,44.2
13:04:32,34.6,44.2
13:04:37,34.6,45.6
13:04:42,34.6,45.7
13:04:47,34.7,45.4
13:04:52,34.7,45.4
13:04:57,34.6,45.6
13:05:02,34.6,45.8
13:05:07,34.6,46.5
13:05:12,34.6,46.1
13:05:17,34.6,45.5
13:05:22,34.6,45.3
13:05:27,34.6,45.3
13:05:37,34.6,45.9
13:05:42,34.6,45.7
13:05:47,34.6,46.2
13:05:52,34.6,47.4
13:05:57,34.6,47.8
13:06:02,34.6,48.0
13:06:07,34.6,48.1
13:06:12,34.6,48.0
13:06:17,34.6,47.7
13:06:22,34.6,47.0
13:06:27,34.6,46.7
13:06:32,34.6,46.5
13:06:37,34.6,46.9
13:06:42,34.6,47.7
13:06:47,34.6,48.0
13:06:52,34.6,48.3
13:06:57,34.6,48.6
13:07:02,34.6,48.8
13:07:07,34.6,48.9
13:07:12,34.6,49.2
13:07:17,34.6,49.5
13:07:22,34.5,49.7
13:07:27,34.5,49.4
13:07:37,34.5,48.0
13:07:42,34.5,48.1
13:07:47,34.5,48.8
13:07:52,34.5,49.5
13:07:57,34.5,51.0
13:08:02,34.5,51.0
13:08:07,34.6,50.4
13:08:12,34.6,51.4
13:08:17,34.6,52.1
13:08:22,34.7,52.0
13:08:27,34.8,54.1
13:08:32,34.8,53.9
13:08:37,34.8,53.1
13:08:42,34.8,50.9
13:08:47,34.9,49.3
13:08:52,34.9,48.5
13:08:57,34.9,48.5
13:09:07,34.9,50.7
13:09:12,34.9,50.0
13:09:17,34.9,48.4
13:09:22,34.9,47.7
13:09:27,34.9,47.8
13:09:32,34.9,48.2
13:09:37,34.9,48.6
13:09:42,34.9,49.8
13:09:53,34.9,50.6
13:09:58,34.9,49.6
13:10:03,34.9,48.9
13:10:08,34.9,48.0
13:10:13,34.9,47.3
13:10:18,34.8,46.9
13:10:23,34.9,47.1
13:10:28,34.8,48.0
13:10:33,34.8,48.6
13:10:38,34.8,49.3
13:10:43,34.8,48.6
13:10:53,34.8,46.7
13:10:58,34.7,45.9
13:11:03,34.7,46.5
